buf,sl,rr,trades,win_rate,pf,pf_sd,exp_r,exp_r_sd,net,net_sd,worst_net,dd,pos_frac,ret_pct,risk
5.0,10.0,1.5,522.1666666666666,42.42008618344142,1.044179825107651,0.02499714452740526,0.04032611590306601,0.01612184210922051,815.4228469615283,482.24616704113816,165.2967506196079,28.054444937200984,1.0,16.308456939230567,15.0
5.0,10.0,2.0,517.6666666666666,35.70524292592117,1.0509602080696772,0.03626161857895577,0.05127836407343109,0.02406518715506298,1012.7832201179295,740.3173133959426,281.0559758603406,32.252625627871254,1.0,20.255664402358587,15.0
5.0,10.0,3.0,511.0,28.146777092281056,1.096071930057957,0.025842688829551687,0.10470993543920665,0.018499089732428482,2495.3600981863183,687.2197839811894,1380.2575538211113,31.33088745727717,1.0,49.90720196372637,15.0
5.0,15.0,1.0,511.6666666666667,52.77116420558155,1.0583662615249003,0.04212811989329366,0.03633886101077142,0.020452101986155796,812.6073998777432,595.5243129707401,12.613560019193528,19.537558943642935,1.0,16.252147997554864,20.0
5.0,15.0,1.5,500.1666666666667,44.15150498434514,1.121953348337701,0.016160412796079836,0.0855356673246707,0.00947182436617597,2200.1093757442854,337.7473410978372,1721.5826520664111,23.947444692311965,1.0,44.00218751488571,20.0
5.0,15.0,2.0,499.0,36.540306128752015,1.087460803439673,0.031132845483031225,0.07726903297065577,0.02013728393885831,1774.1707197362946,667.8045771820296,789.2261547180708,26.937297844730825,1.0,35.48341439472589,20.0
5.0,15.0,3.0,471.5,25.51988163742129,0.9726073242920058,0.028190993730835858,0.004223978569439449,0.021353614243693083,-439.40437824576867,442.2892085371727,-1014.7007580049417,31.430399818500145,0.16666666666666666,-8.788087564915374,20.0
8.0,1.0,1.0,503.0,49.47156014331929,0.8993547455670265,0.04567491119175511,-0.04474342676324385,0.025150047919662494,-1135.6493652592965,491.74984242939985,-1704.841696203329,29.38132676928708,0.0,-22.71298730518593,9.0
8.0,1.0,1.5,503.5,39.02907294866399,0.8891510109218261,0.040957887112624394,-0.05914581742332812,0.029014783360916004,-1464.0831964796807,525.6960854057963,-2044.6133181007742,38.31736569699708,0.0,-29.281663929593616,9.0
8.0,1.0,2.0,504.6666666666667,35.57090651118826,1.0267877236123015,0.06801602198003182,0.032918086398383485,0.04832576209190886,577.144563956755,1283.503409350072,-1229.7094739347785,26.33664757845979,0.6666666666666666,11.542891279135098,9.0
8.0,1.0,3.0,503.1666666666667,26.666168589034584,1.011158908447769,0.04381138373216783,0.03338362095363967,0.037830271091598824,292.5831440571795,860.0151823417727,-1405.691593495193,37.09523844720163,0.8333333333333334,5.851662881143589,9.0
8.0,2.0,1.0,504.1666666666667,48.662226890822836,0.8790815286457471,0.04064425743326931,-0.05700148604040212,0.021657639472232204,-1374.548853652027,396.13875856455877,-1913.3918972570475,32.42107665109237,0.0,-27.49097707304054,10.0
8.0,2.0,1.5,502.1666666666667,40.79200465093427,0.967021376425567,0.06513406986240829,-0.010199883726643577,0.04128785931006196,-439.29233639998006,903.8069861740155,-1842.9680754945484,28.610487243298525,0.16666666666666666,-8.7858467279996,10.0
8.0,2.0,2.0,503.5,36.542178454320805,1.0725247368316582,0.0731021076042937,0.06331708922883542,0.04865740635753975,1514.4407576298424,1562.75792039259,-535.4251822688685,25.42171305432709,0.8333333333333334,30.288815152596854,10.0
8.0,2.0,3.0,503.6666666666667,27.92898791603044,1.080590462758741,0.06353672141864841,0.08715951664121763,0.05010296878078749,2003.7351006442786,1489.822953226242,-737.4302007944186,29.455585085422438,0.8333333333333334,40.074702012885574,10.0
8.0,4.0,1.0,503.8333333333333,49.29076063650182,0.9110969755110893,0.05027265740216731,-0.03941788266615674,0.027441664560317325,-1025.4123760662785,580.5134635320372,-1632.1855429352222,29.67507103308292,0.16666666666666666,-20.50824752132557,12.0
